Nama Restoran,Preferensi Makanan,Lokasi Restoran,Harga Rata-Rata Makanan di Toko (Rp),Rating Toko,Jenis Suasana,Toko Sering Diskon (Ya/Tidak),Variasi Makanan,Pelayanan Khusus Pasangan (Ya/Tidak),Entertainment,Keramaian Restoran,Disajikan atau Ambil Sendiri,All You Can Eat atau Ala Carte
"Picnic! Pata X Sausage Tamansiswa, Jl. Tamansiswa No.49 Yogya",Western,1.24 km,29000,4.3,Santai,Tidak,"Pizza & pasta, Snacks, Western",Tidak,1,1,Disajikan,Ala Carte
"Rumah Makan Tio Asli Ciu Chinese Food & Sea Food, Jetis",Chinese,3.84 km,120000,4.5,Santai,Tidak,"Seafood, Bakmie, Chinese",Tidak,4,2,Disajikan,Ala Carte
"Manalagi KQ 5, Ngampilan",Chinese,3.7 km,26000,4.7,Santai,Tidak,"Seafood, Chinese",Tidak,1,2,Disajikan,Ala Carte
"Lawson Shop, Tegalrejo",Japanese,4.43 km,44000,4,Formal,Tidak,"Snacks, Beverages, Japanese, Coffee, Korean",Tidak,3,3,Disajikan,Ala Carte
"Burgerax, Glagahsari",Western,1.17 km,38000,4.2,Santai,Tidak,"Snacks, Western",Tidak,2,3,Disajikan,Ala Carte
"Ini Baru Rajanya Steak, Banguntapan",Western,2.1 km,35000,4.6,Formal,Tidak,Western,Tidak,1,3,Disajikan,Ala Carte
"Burger Bangor Express, Janti",Western,2.4 km,40000,4.7,Santai,Tidak,"Western, Fast food, Chicken & duck",Tidak,4,3,Disajikan,Ala Carte
"Black Kebab, Wirobrajan",Middle Eastern,4.39 km,23000,4.4,Santai,Tidak,"Western, Middle Eastern, Snacks",Tidak,3,1,Disajikan,Ala Carte
"Oz Resto & Cafe, Permata Demangan",Western,3.68 km,25000,4.7,Formal,Tidak,"Western, Pizza & pasta, Rice, Chicken & duck",Tidak,3,2,Disajikan,Ala Carte
"Twisted Noodle, Gondokusuman",Chinese,3.54 km,12000,4.6,Santai,Tidak,"Bakmie, Chinese",Ya,2,2,Disajikan,Ala Carte
"Yamie Panda, Demangan",Chinese,3.85 km,28000,4.7,Santai,Ya,"Bakmie, Chinese",Ya,2,2,Disajikan,Ala Carte
"RM Makmur Chinese Food, Sosromenduran",Chinese,3.66 km,40000,4.7,Santai,Tidak,"Aneka nasi, Bakmie, Chinese",Tidak,2,3,Disajikan,Ala Carte
"Brongkos Koyor dan Sop Buntut Mbak Ris, Balaikota",Indonesia,1.51 km,30000,4.7,Santai,Tidak,"Aneka nasi, Bakso & soto, Seafood",Tidak,2,1,Disajikan,Ala Carte
Mie Ayam Goreng & Gado-gado Om Brewok,Indonesia,1.1 km,19000,4.6,Santai,Tidak,"Ayam & bebek, Bakmie, Bakso & soto",Tidak,1,3,Disajikan,Ala Carte
"Bebek Peking dan Ayam Panggang Pak Gembul, Jl KH Ahmad Dahlan No 40",Chinese,3.16 km,45000,4.5,Santai,Tidak,"Ayam & bebek, Chinese, Aneka nasi",Tidak,1,2,Disajikan,Ala Carte
"Soto Pak Zaenal, Dr. Supomo",Indonesia,0.86 km,15000,4.7,Santai,Tidak,Bakso & soto,Tidak,2,1,Disajikan,Ala Carte
Bakso Lapangan Tembak Senayan - Cendana,Indonesia,1.52 km,42000,4.6,Santai,Tidak,"Bakso & soto, Aneka nasi, Bakmie",Tidak,3,1,Disajikan,Ala Carte
"Soto Ayam Jadul Mak Yem, Sorogenen",Indonesia,1.43 km,10000,4.6,Santai,Tidak,"Bakso & soto, Minuman",Tidak,1,3,Disajikan,Ala Carte
"Ayam Geprek & Rice Bowl Tobiko Mentai, Karangkajen",Japanese,1.94 km,23000,4.7,Santai,Tidak,"Chicken & duck, Japanese, Beverages",Tidak,1,3,Disajikan,Ala Carte
"Funkydak, Komplek Colombo",Western,3.83 km,58000,4.7,Santai,Tidak,"Chicken & duck, Western, Fast food",Tidak,4,3,Disajikan,Ala Carte
RM. Gajah jaya,Chinese,3.31 km,25000,4.6,Santai,Tidak,Chinese,Tidak,1,1,Disajikan,Ala Carte
"Hore Steak Jogja, Jl. Cenderawasih 32b",Western,3.72 km,77000,4.1,Formal,Tidak,"Fast food, Beverages, Western",Tidak,2,3,Disajikan,Ala Carte
"Ichiban Sushi, Hartono Mall",Japanese,6.2 km,52000,4.7,Formal,Tidak,Japanese,Tidak,4,3,Disajikan,Ala Carte
"BOX MIE, Monjali",Japanese,5.2 km,24000,4.7,Santai,Tidak,"Japanese, Noodles, Korean",Tidak,4,2,Disajikan,Ala Carte
"Warung Makan Tokyo, Titik Maps Sabi Jogja",Japanese,4.06 km,17000,4.2,Santai,Ya,"Rice, Japanese, Seafood",Tidak,3,1,Disajikan,Ala Carte
"East Pork - #1 Sei Babi Kupang In Jogja, Ampel",Western,3.7 km,30000,4.7,Santai,Tidak,"Rice, Western, Sate",Tidak,2,1,Disajikan,Ala Carte
"Kebab Jawa, Sorogenen",Western,1.54 km,18000,4.5,Santai,Tidak,Western,Tidak,4,2,Disajikan,Ala Carte
"Iten Kitchen, PazelKitchen Sudirman",Western,3.66 km,26000,4.2,Formal,Tidak,"Western, Pizza & pasta",Tidak,1,2,Disajikan,Ala Carte
Warung Toscana,Western,1.91 km,69000,4.6,Santai,Tidak,"Western, Pizza & pasta",Tidak,1,1,Disajikan,Ala Carte
"Kedai Zu Pa ( Zuppa Soup & Pasta ) Kotabaru, Juadi",Western,3.23 km,21000,4.7,Santai,Tidak,"Western, Snacks, Pizza & pasta",Tidak,1,2,Disajikan,Ala Carte
NABE COFFEE Soragan,Japanese,5.13 km,36000,4.8,Santai,Tidak,"Bakery, Japanese, Coffee",Tidak,3,2,Disajikan,Ala Carte
"Mie Jakarta Express, Galeria Mall",Chinese,3.46 km,48000,4.6,Santai,Tidak,"Bakmie, Seafood, Chinese",Tidak,4,3,Disajikan,Ala Carte
Soto Ayam Pak Satar,Indonesia,0.31 km,13000,4.5,Santai,Tidak,Bakso & soto,Tidak,3,2,Disajikan,Ala Carte
"Mie Ayam Sae Raos, Jl Sidikan No. 71 Sorosutan",Indonesia,1.18 km,14000,4.2,Santai,Tidak,"Bakso & soto, Bakmie",Tidak,1,2,Disajikan,Ala Carte
"Happy Juice & Soto Padang, Umbulharjo",Indonesia,0.77 km,18000,4.5,Santai,Tidak,"Bakso & soto, Minuman",Tidak,1,2,Disajikan,Ala Carte
"Cerenti Restaurant, Hotel Grand Zuri",Western,3.63 km,66000,4.6,Formal,Tidak,"Barat, Pizza & pasta, Aneka nasi, Chinese",Tidak,1,2,Disajikan,Ala Carte
"Sushi Tei, Komplek Colombo",Japanese,3.76 km,100000,4.7,Formal,Tidak,"Beverages, Seafood, Japanese",Tidak,1,3,Disajikan,Ala Carte
"Bubur Ayam Kampung Hawila, Timoho",Chinese,1.94 km,25000,4.5,Santai,Tidak,"Cepat saji, Chinese, Aneka nasi",Tidak,4,3,Disajikan,Ala Carte
"Nasi Ayam d' Katsu, Rejodadi Sidorejo",Japanese,5.95 km,38000,4.7,Santai,Tidak,"Chicken & duck, Japanese, Rice",Tidak,1,3,Disajikan,Ala Carte
Kedai Liang Xin,Chinese,4.62 km,22000,4.7,Santai,Tidak,"Chinese, Japanese",Tidak,1,2,Disajikan,Ala Carte
"My Kopi-O! Indonesian Bistro, Sagan",Western,3.76 km,51000,4.8,Santai,Tidak,"Coffee, Snacks, Western",Tidak,4,3,Disajikan,Ala Carte
"Gokana Ramen & Teppan, Pakuwon Mall Jogja",Japanese,6.03 km,55000,4.5,Formal,Tidak,"Japanese, Rice",Tidak,1,2,Disajikan,Ala Carte
"Katsukai, Selokan Mataram",Japanese,5.19 km,37000,4.1,Santai,Tidak,"Japanese, Rice",Tidak,1,1,Disajikan,Ala Carte
"Kalluna, Kotabaru",Western,3.39 km,60000,4.7,Santai,Tidak,"Rice, Chicken & duck, Western",Tidak,4,2,Disajikan,Ala Carte
"Daruma Donburi, Mlati, Sinduadi",Japanese,5.75 km,35000,4,Santai,Ya,"Rice, Japanese",Tidak,3,1,Disajikan,Ala Carte
"Sabi Jogja, Caturtunggal",Japanese,4.07 km,49000,4.5,Santai,Ya,"Sate, Rice, Japanese",Tidak,2,2,Disajikan,Ala Carte
"Brick Pastrami Burger, Kuliner Lor Tugu",Western,4.07 km,44000,4.5,Santai,Tidak,Western,Tidak,2,3,Disajikan,Ala Carte
"Burger Bros, Mergangsan",Western,1.2 km,40000,4.7,Santai,Tidak,Western,Tidak,3,1,Disajikan,Ala Carte
"Lawang Resto, Yellow Star Ambarrukmo Hotel",Western,3.47 km,28000,3.9,Santai,Tidak,Western,Tidak,1,3,Disajikan,Ala Carte
"Waroeng Steak and Shake, HOS Cokroaminoto",Western,4.24 km,40000,4.7,Santai,Tidak,Western,Tidak,2,3,Disajikan,Ala Carte
"Kebab Turki Baba Rafi, Tegalrejo",Western,4.42 km,38000,4,Santai,Ya,"Western, Middle Eastern, Snacks",Tidak,1,2,Disajikan,Ala Carte
"Madam Tan Indonesian Food, Gondokusuman",Western,4.4 km,30000,4.6,Santai,Tidak,"Western, Pizza & pasta, Noodles, Seafood",Tidak,2,2,Disajikan,Ala Carte
"Yamie Panda, Jalan Solo",Chinese,3.53 km,28000,4.7,Santai,Ya,"Chinese, Bakmie",Ya,3,2,Disajikan,Ala Carte
Soto Lamongan Cak Mangku,Indonesia,1.34 km,18000,4.6,Santai,Tidak,Bakso & soto,Tidak,1,1,Disajikan,Ala Carte
"Soto Bu Kamto, Umbulharjo",Indonesia,0.93 km,15000,4.4,Santai,Tidak,"Bakso & soto, Aneka nasi, Ayam & bebek",Tidak,3,1,Disajikan,Ala Carte
Bakso Ceker Mercon dan Penyetan Mayang Sidikan,Indonesia,0.78 km,18000,4,Santai,Ya,"Bakso & soto, Aneka nasi, Korea",Tidak,1,2,Disajikan,Ala Carte
"Mie Ayam & Bakso Idolaku Pak Tikno, Tamansiswa",Indonesia,1.2 km,30000,4.7,Santai,Ya,"Bakso & soto, Bakmie",Tidak,1,2,Disajikan,Ala Carte
"Soto Daging Sapi Lamongan Cak Sodik, Jl Veteran,umbuhalrjo",Indonesia,0.42 km,22000,4.4,Santai,Tidak,"Bakso & soto, Minuman, Cepat saji",Tidak,4,2,Disajikan,Ala Carte
"YOSHINOYA BEEF BOWL, Kaliurang Jogja",Japanese,5.73 km,64000,4.8,Formal,Tidak,"Fast food, Japanese, Chicken & duck, Rice, Coffee",Tidak,1,2,Disajikan,Ala Carte
"Melt Salad Fresh n Healthy Food, Sukun Raya",Western,3.04 km,19000,4.8,Santai,Tidak,"Fast food, Sweets, Western",Tidak,3,2,Disajikan,Ala Carte
"Nasi Bakar Lagi Dan Mendoan Jumbo ""Mbakayune"", Umbulharjo",Indonesia,1.45 km,20000,4.7,Santai,Ya,"Jajanan, Aneka nasi, Bakso & soto",Tidak,4,2,Disajikan,Ala Carte
"Oriyamie, Kusumanegara",Indonesia,1.26 km,20000,3.7,Santai,Ya,"Jajanan, Bakso & soto, Bakmie",Tidak,1,1,Disajikan,Ala Carte
"Ichiban Sushi, Plaza Malioboro",Japanese,3.24 km,52000,4.6,Formal,Tidak,Japanese,Tidak,3,3,Disajikan,Ala Carte
"Banzai, Tegalrejo",Japanese,5.03 km,49000,4.8,Formal,Tidak,"Japanese, Fast food, Rice",Tidak,1,1,Disajikan,Ala Carte
"Nakdang, Banguntapan",Japanese,3.28 km,33000,4.6,Santai,Tidak,"Japanese, Rice, Chicken & duck",Tidak,4,2,Disajikan,Ala Carte
"Boga Kitchen, Selokan Yogya",Japanese,5.11 km,82000,4.6,Santai,Ya,"Japanese, Rice, Fast food, Chicken & duck",Tidak,2,3,Disajikan,Ala Carte
"Por Aqui Resto & IRD, Prawirotaman",Western,1.88 km,33000,4.6,Santai,Tidak,"Rice, Beverages, Western",Tidak,3,1,Disajikan,Ala Carte
"Ayam Geprek Dan Katsu KALARASA, Umbulharjo",Japanese,1.02 km,18000,4.7,Santai,Ya,"Rice, Fast food, Japanese",Tidak,1,2,Disajikan,Ala Carte
"Nasi Mangkok Uncle Dave, Depok/Caturtunggal/Seturan",Japanese,5.89 km,21000,4.6,Santai,Tidak,"Rice, Fast food, Japanese",Tidak,3,1,Disajikan,Ala Carte
"Ramen Kanbai, Babarsari",Japanese,5.03 km,27000,4.3,Santai,Tidak,"Sweets, Japanese, Noodles",Tidak,2,3,Disajikan,Ala Carte
"Boom Burger, Mergangsan",Western,1.2 km,37000,4.6,Santai,Tidak,Western,Tidak,2,3,Disajikan,Ala Carte
"Burger Bros, Seturan",Western,4.56 km,40000,4.7,Santai,Tidak,Western,Tidak,2,1,Disajikan,Ala Carte
"Monalisa Burger Sisingamangaraja, seberang BDS syariah",Western,1.77 km,33000,4.7,Santai,Tidak,Western,Tidak,3,3,Disajikan,Ala Carte
"Choky Spaghetti Steak, Sugiyono",Western,1.93 km,24000,4.7,Santai,Tidak,"Western, Rice",Tidak,4,3,Disajikan,Ala Carte
"Steak Box, Gondokusuman, Kotabaru",Western,3.64 km,27000,4.5,Santai,Tidak,"Western, Rice, Fast food",Tidak,2,2,Disajikan,Ala Carte
"Ta Wan, Malioboro",Chinese,3.24 km,56000,4.7,Formal,Ya,"Aneka nasi, Ayam & bebek, Chinese",Ya,1,2,Disajikan,Ala Carte
"Yamie Panda, Lippo Mall Jogja",Chinese,3.26 km,28000,4.6,Santai,Ya,"Bakmie, Chinese",Ya,4,1,Disajikan,Ala Carte
"Yamie Panda, Tamansiswa",Chinese,1.18 km,28000,4.7,Santai,Ya,"Chinese, Bakmie",Ya,4,3,Disajikan,Ala Carte
Pondok Damai Mbah Tin,Chinese,3.54 km,23000,4.5,Santai,Ya,"Aneka nasi, Bakmie, Chinese",Tidak,1,3,Disajikan,Ala Carte
"Mie Ayam Pancoran, Glagahsari",Indonesia,0.51 km,21000,3.9,Santai,Tidak,"Bakmie, Bakso & soto",Tidak,1,3,Disajikan,Ala Carte
"Mie Kita Orang, Pasar Kranggan Lantai 2",Chinese,4.14 km,20000,4.2,Santai,Tidak,"Bakmie, Chinese",Tidak,4,3,Disajikan,Ala Carte
"Bakso Cak Masrur, Timoho",Indonesia,1.58 km,43000,4.6,Santai,Tidak,Bakso & soto,Tidak,2,2,Disajikan,Ala Carte
Mie Ayam Dan Bakso Urat Sari Roso Wonogiri,Indonesia,0.25 km,17000,4.7,Santai,Ya,Bakso & soto,Tidak,4,2,Disajikan,Ala Carte
Soto Daging Sapi Lamongan Cak Lim,Indonesia,0.39 km,22000,4.6,Santai,Tidak,"Bakso & soto, Cepat saji, Aneka nasi",Tidak,2,3,Disajikan,Ala Carte
"Etnik Kafe, Mergangsan",Chinese,1.87 km,23000,4.3,Santai,Tidak,"Chinese, Aneka nasi, Ayam & bebek",Tidak,2,1,Disajikan,Ala Carte
Bakso Bakar Sosis Bakar Depokan,Indonesia,1.15 km,22000,4.4,Santai,Tidak,"Jajanan, Bakso & soto, Bakmie",Tidak,4,1,Disajikan,Ala Carte
"HokBen, Malioboro Mall",Japanese,3.25 km,49000,4.7,Formal,Tidak,Japanese,Tidak,3,3,Disajikan,Ala Carte
Silla Korean & Japanese Restaurant,Japanese,6.13 km,85000,4.8,Formal,Tidak,"Japanese, Korean",Tidak,2,1,Disajikan,Ala Carte
"Aqori Angkringan Jepang, Kuliner Lor Tugu",Japanese,4.08 km,23000,4.4,Santai,Tidak,"Japanese, Snacks",Tidak,1,3,Disajikan,Ala Carte
Bakso Urat dan Mie Ayam Krowal Krowel,Indonesia,1.38 km,15000,3.5,Santai,Tidak,"Minuman, Bakso & soto, Bakmie",Tidak,1,3,Disajikan,Ala Carte
Bubur Ayam Bang Opik,Chinese,1.52 km,18000,4.5,Santai,Tidak,"Minuman, Cepat saji, Chinese",Tidak,3,1,Disajikan,Ala Carte
"Sun Rice Bowl, Panggungharjo",Japanese,4.95 km,28000,4.7,Santai,Tidak,"Rice, Chicken & duck, Japanese",Tidak,3,2,Disajikan,Ala Carte
"Sate Kambing Pak Tomek, Ngentak",Indonesia,3.06 km,22000,4.5,Santai,Tidak,"Sate, Aneka nasi, Bakso & soto",Tidak,3,3,Disajikan,Ala Carte
"Seafood 99, Sorogenen",Chinese,1.4 km,32000,4.7,Santai,Tidak,"Seafood, Aneka nasi, Chinese",Tidak,4,1,Disajikan,Ala Carte
"Lawson Shop, Imogiri Barat",Japanese,5.49 km,44000,4.7,Formal,Tidak,"Snacks, Beverages, Japanese, Coffee, Korean",Tidak,4,3,Disajikan,Ala Carte
"Lawson Shop, Sorowajan",Japanese,2.75 km,44000,4.7,Formal,Tidak,"Snacks, Beverages, Japanese, Coffee, Korean",Tidak,4,2,Disajikan,Ala Carte
"Burgerax, Gedongkuning",Western,1.64 km,38000,4.5,Santai,Tidak,"Snacks, Fast food, Western",Tidak,1,2,Disajikan,Ala Carte
"Hawker's Steak, JEC",Western,2.41 km,28000,4.5,Formal,Tidak,Western,Tidak,2,1,Disajikan,Ala Carte
"Pizza Aroma Italia 2, Gondokusuman",Western,2.37 km,107000,4.8,Formal,Tidak,"Western, Pizza & pasta",Tidak,2,2,Disajikan,Ala Carte
"Blengerr, Hayam Wuruk",Chinese,2.73 km,34000,4.7,Santai,Ya,"Aneka nasi, Ayam & bebek, Chinese",Tidak,4,3,Disajikan,Ala Carte
"Nasi Goreng dan Chinese Food Abah, Prawirotaman",Chinese,2.11 km,22000,4.8,Santai,Tidak,"Bakmie, Chinese, Aneka nasi",Tidak,1,1,Disajikan,Ala Carte
Bakso Rahayu,Indonesia,1.47 km,14000,4.5,Santai,Tidak,Bakso & soto,Tidak,1,1,Disajikan,Ala Carte
BAKSO URAT CAK EKA AREMA MALANG JATIM,Indonesia,3.01 km,16000,4.4,Santai,Tidak,Bakso & soto,Tidak,4,3,Disajikan,Ala Carte
"Soto Sapi Winong, Ngeksigondo",Indonesia,1.13 km,25000,4.9,Santai,Tidak,Bakso & soto,Tidak,4,2,Disajikan,Ala Carte
"Mr. Teto Sate & Soto, Perintis Kemerdekaan",Indonesia,0.85 km,27000,4.8,Santai,Tidak,"Bakso & soto, Sate",Tidak,2,1,Disajikan,Ala Carte
"Steak 36 Kusumanegara, No.222 , Kota Yogyakarta",Western,1.51 km,24000,4.5,Santai,Tidak,"Chicken & duck, Western",Tidak,3,3,Disajikan,Ala Carte
"Petit Paris Boulangerie and Bistro, Kotabaru",Western,3.22 km,103000,4.5,Formal,Tidak,"Chicken & duck, Western, Fast food",Tidak,3,2,Disajikan,Ala Carte
"A&M Co. Express, Jogja",Japanese,3.95 km,75000,4.6,Formal,Tidak,"Fast food, Japanese",Tidak,4,1,Disajikan,Ala Carte
"Ayam Serundeng, Nitikan",Indonesia,1 km,21000,4.6,Santai,Tidak,"Jajanan, Aneka nasi, Bakso & soto",Tidak,3,3,Disajikan,Ala Carte
"Hakata Ikkousha, Hartono Mall",Japanese,6.19 km,64000,4.6,Formal,Tidak,Japanese,Tidak,4,3,Disajikan,Ala Carte
"Shigeru Sushi, Pakuwon Mall Yogyakarta",Japanese,6.1 km,50000,4.5,Formal,Ya,Japanese,Tidak,1,1,Disajikan,Ala Carte
"Kimukatsu, Hartono Mall",Japanese,5.94 km,67000,4.8,Formal,Tidak,"Japanese, Rice, Chicken & duck",Tidak,3,3,Disajikan,Ala Carte
"Beef Mafia, Selokan Yogya",Japanese,5.11 km,70000,4.8,Formal,Ya,"Japanese, Rice, Fast food, Chicken & duck",Tidak,4,1,Disajikan,Ala Carte
"Genki Sushi, Plaza Ambarrukmo",Japanese,3.74 km,58000,4.7,Formal,Tidak,"Japanese, Rice, Snacks",Tidak,1,2,Disajikan,Ala Carte
"K'Meals Bar & Restaurant, Prawirotaman",Western,2.02 km,40000,4.8,Formal,Tidak,"Pizza & pasta, Beverages, Western",Tidak,2,1,Disajikan,Ala Carte
"Ganbate Kitchen, Widya Mataram",Japanese,3.3 km,31000,4.4,Santai,Tidak,"Rice, Chicken & duck, Japanese",Tidak,4,2,Disajikan,Ala Carte
"AB Oriental Streetfood, Pedak",Japanese,3.14 km,32000,4.7,Santai,Ya,"Rice, Fast food, Japanese",Tidak,2,2,Disajikan,Ala Carte
"Steak Moen-Moen, Galeria Mall",Western,3.47 km,26000,4.4,Formal,Tidak,Western,Tidak,4,3,Disajikan,Ala Carte
"Steak Up, Mlati",Western,4.13 km,88000,4.6,Santai,Tidak,Western,Tidak,2,1,Disajikan,Ala Carte
"Kebab Burger 26, Kotagede",Western,1.8 km,19000,4.3,Santai,Tidak,"Western, Fast food",Tidak,3,2,Disajikan,Ala Carte
"Pothz Burger, STM Pembangunan",Western,4.48 km,27000,4.6,Santai,Tidak,"Western, Fast food",Tidak,3,1,Disajikan,Ala Carte
Warung Buto,Chinese,2.2 km,43000,4.7,Santai,Tidak,"Aneka nasi, Chinese, Sate",Tidak,1,1,Disajikan,Ala Carte
"Mie Surabaya Pak Joko, Gedongkuning Selatan",Chinese,1.62 km,18000,4.7,Santai,Tidak,"Bakmie, Aneka nasi, Chinese",Tidak,4,3,Disajikan,Ala Carte
Bakso Dan Mie Ayam Barokah 354 Sor Talok,Indonesia,0.75 km,16000,4.6,Santai,Tidak,"Bakmie, Bakso & soto",Tidak,2,1,Disajikan,Ala Carte
"Mie Kepang Jayakarta, Kusumanegara",Indonesia,1.26 km,42000,4.6,Santai,Ya,"Bakmie, Jajanan, Bakso & soto",Tidak,3,2,Disajikan,Ala Carte
Warung Sop dan Tongseng Ayam Family,Indonesia,3.1 km,17000,4.2,Santai,Tidak,"Bakso & soto, Ayam & bebek",Tidak,2,3,Disajikan,Ala Carte
"Ono Dimsum, Timoho",Indonesia,2.84 km,17000,4.6,Santai,Tidak,"Bakso & soto, Cepat saji, Jajanan",Tidak,4,1,Disajikan,Ala Carte
Bakso Dan Seblak Asgar,Indonesia,0.51 km,17000,4.6,Santai,Ya,"Bakso & soto, Cepat saji, Minuman",Tidak,3,1,Disajikan,Ala Carte
"Tanamera Coffee Roastery, Yogyakarta",Western,4.03 km,75000,4.5,Santai,Tidak,"Beverages, Coffee, Western",Tidak,3,1,Disajikan,Ala Carte
"Rembo Chick n Steak, Mantrijeron",Western,3.66 km,15000,3.4,Santai,Tidak,"Chicken & duck, Western, Fast food",Tidak,2,1,Disajikan,Ala Carte
"Oase Cafe & Coffe, Mergangsan",Chinese,1.3 km,22000,4.6,Santai,Tidak,"Chinese, Aneka nasi, Bakmie",Tidak,2,2,Disajikan,Ala Carte
Rumah Makan Echo Roso 1,Chinese,3.06 km,27000,4.6,Santai,Tidak,"Chinese, Aneka nasi, Seafood",Tidak,3,2,Disajikan,Ala Carte
"Vegan Fortunate Coffee, Jogonegaran",Western,3.57 km,45000,4.8,Santai,Ya,"Coffee, Western, Beverages",Tidak,4,3,Disajikan,Ala Carte
"Onoki Mentai, Depok",Japanese,4.97 km,45000,4.8,Santai,Tidak,"Fast food, Japanese, Rice",Tidak,2,3,Disajikan,Ala Carte
"Banzai!, Seturan",Japanese,4.56 km,49000,4.7,Formal,Tidak,Japanese,Tidak,3,1,Disajikan,Ala Carte
"Ichiban Sushi, Plaza Ambarrukmo",Japanese,3.73 km,52000,4.6,Formal,Tidak,Japanese,Tidak,4,3,Disajikan,Ala Carte
Umami House Sushi & Dry Ramen,Japanese,2.74 km,21000,4.5,Santai,Ya,Japanese,Tidak,4,3,Disajikan,Ala Carte
"Zutto Sushi Homemade, Elang",Japanese,4.71 km,30000,4.4,Santai,Tidak,Japanese,Tidak,2,1,Disajikan,Ala Carte
"Marugame Udon & Tempura, Plaza Ambarrukmo",Japanese,3.64 km,68000,4.8,Formal,Tidak,"Japanese, Noodles",Tidak,4,3,Disajikan,Ala Carte
"Warunk Sushi Condong Catur, Depok",Japanese,4.98 km,44000,4.6,Santai,Ya,"Rice, Fast food, Japanese",Tidak,1,2,Disajikan,Ala Carte
Takoyaki Kuliner Lor Tugu,Japanese,4.06 km,22000,4.2,Santai,Tidak,"Snacks, Beverages, Japanese",Tidak,3,2,Disajikan,Ala Carte
"Lawson Shop, Mantrijeron",Japanese,3.61 km,44000,4.4,Formal,Tidak,"Snacks, Beverages, Japanese, Coffee, Korean",Tidak,1,3,Disajikan,Ala Carte
"Veno'S Burger, Mergangsan",Western,2.22 km,40000,4.1,Santai,Ya,"Snacks, Fast food, Western",Tidak,3,1,Disajikan,Ala Carte
OMAH STEAK AND CHICKEN,Western,2.31 km,34000,4.7,Santai,Tidak,Western,Tidak,3,2,Disajikan,Ala Carte
"Pondok Cabe Bistro, C Simanjuntak",Western,4.25 km,35000,4.5,Santai,Tidak,"Western, Pizza & pasta, Rice, Chicken & duck, Bakso & soto",Tidak,4,3,Disajikan,Ala Carte
Waroeng Spaghetti Balapan,Western,3.25 km,25000,4.7,Santai,Ya,"Western, Snacks",Tidak,2,2,Disajikan,Ala Carte
"Burgerax, Patangpuluhan",Western,4.59 km,38000,4.7,Santai,Tidak,"Western, Snacks, Fast food",Tidak,4,3,Disajikan,Ala Carte
"Shaburi & Kintan Buffet, Ambarukmo Plaza Yogya",Japanese,3.67 km,330000,4.8,Formal,Tidak,"Japanese, Rice, Chicken & duck",Tidak,1,2,Ambil Sendiri,All You Can Eat